add_currency,நாணயத்தைச் சேர்க்கவும்
add_up_to_6_favorite_currencies,எல்லா இடங்களிலும் சிறந்த மாற்று விகிதங்களைக் காண 6 பிடித்த நாணயங்களைச் சேர்க்கவும்
all_countries,அனைத்து நாடுகளும்
choose_your_favorite_currencies,உங்களுக்கு பிடித்த நாணயங்களைத் தேர்வுசெய்க
converter,மாற்றி அமையுங்கள்
currency_rates,நாணய விகிதங்கள்
equals,சமம்
exchange_rate,பரிமாற்று விகிதம்
favorite_currencies,பிடித்த நாணயங்கள்
notify_me_when_rate_is_above,விகிதம் மேலே இருக்கும்போது எனக்கு அறிவிக்கவும்
popular_countries,பிரபலமான நாடுகள்
rate_notifications,கட்டண அறிவிப்புகள்
send_money,பணம் அனுப்பவும்
type_country,எந்த நாடு & வகை
you_can_select_up_to_6_currencies_and,நீங்கள் 6 நாணயங்களைத் தேர்ந்தெடுக்கலாம் மற்றும் உங்கள் டாஷ்போர்டிலிருந்து சமீபத்தில் நானைய விகித புதுப்பிப்புகளை எளிதாகக் காணலாம்
notifications_preferences,அறிவிப்பு விருப்பத்தேர்வுகள்
notifications_sub_title_1,உங்களுக்கு பிடித்த நாணயங்களுக்கான அறிவிப்பை இங்கே அமைக்கலாம்.
notifications_sub_title_2,"முறை, அதிர்வெண் மற்றும் சேமி என்பதைத் தேர்ந்தெடுக்கவும்."
notifications_sub_title_3,உங்கள் நாணயங்களுக்கான சமீபத்தில் புதிய மாற்று விகிதங்கள் குறித்து நாங்கள் உங்களுக்கு அறிவிப்போம்.
notifications_method,அறிவிப்பு முறை
notifications_frequency,அறிவிப்பு அதிர்வெண்
notifications_sms,எஸ்.எம்.எஸ் & மெசேச் & குறுந்தகவல் & குறுஞ்செய்தி
notifications_email,மின்னஞ்சல்
notifications_save,சேமி
notifications_update_success,அறிவிப்பு விருப்பத்தேர்வுகள் வெற்றிகரமாக புதுப்பிக்கப்பட்டன
notifications_update_error,உங்கள் விருப்பங்களை புதுப்பிப்பதில் சிக்கல் இருந்தது.
rate_selected,இந்த விகிதம் ஏற்கனவே தேர்ந்தெடுக்கப்பட்டது
preference_updated,விருப்பத்தேர்வுகள் புதுப்பிக்கப்பட்டன.
pref_update_error,விருப்பங்களை புதுப்பிப்பதில் பிழை.
daily,தினசரி
weekly,வாராந்திர
monthly,மாதாந்திர
