bmo_title,விஎம்ஓ ( BMO ) வங்கி
bmo_alt,விஎம்ஓ ( BMO ) வங்கி லோகோ அல்லது அடையாளம்
cibc_title,சிஐவிசி ( CIBC ) வங்கி
cibc_alt,சிஐவிசி ( CIBC ) வங்கி லோகோ அல்லது அடையாளம்
desjardins_title,டெஸ்ஜார்டின்ஸ் ( Desjardins) வங்கி
desjardins_alt,டெஸ்ஜார்டின்ஸ் ( Desjardins) வங்கி லோகோ அல்லது அடையாளம்
financial_title,நிதி ( Financial ) வங்கி
financial_alt,நிதி ( Financial ) வங்கி லோகோ அல்லது அடையாளம்
hsbc_title,எச்.எஸ்.பி.சி. ( HSBC ) வங்கி
hsbc_alt,எச்.எஸ்.பி.சி. ( HSBC ) வங்கி லோகோ அல்லது அடையாளம்
laurentian_bank_title,லாரன்டியன் வங்கி ( Laurentian ) வங்கி
laurentian_bank_alt,லாரன்டியன் வங்கி ( Laurentian ) வங்கி லோகோ அல்லது அடையாளம்
manulife_bank_title,மானுலைஃப் (Manulife ) வங்கி
manulife_bank_alt,மானுலைஃப் (Manulife ) வங்கி லோகோ அல்லது அடையாளம்
meridian_title,மெரிடியன் ( Meridian ) வங்கி
meridian_alt,மெரிடியன் ( Meridian ) வங்கி லோகோ அல்லது அடையாளம்
national_bank_of_canada_title,கனடாவின் தேசிய வங்கி ( National bank of canada )
national_bank_of_canada_alt,கனடாவின் தேசிய வங்கி ( National bank of canada ) வங்கி லோகோ அல்லது அடையாளம்
rbc_title,ஆர்.வி.சி. ( RBC ) வங்கி
rbc_alt,ஆர்.வி.சி. ( RBC ) வங்கி லோகோ அல்லது அடையாளம்
scotiabank_title,ஸ்கோடியா ( Scotia ) வங்கி
scotiabank_alt,ஸ்கோடியா ( Scotia ) வங்கி லோகோ அல்லது அடையாளம்
tangerine_title,டேன்ஜரின் ( Tangerine ) வங்கி
tangerine_alt,டேன்ஜரின் ( Tangerine ) வங்கி லோகோ அல்லது அடையாளம்
td_title,ரி.டி. ( TD ) வங்கி
td_alt,ரி.டி. ( TD ) வங்கி லோகோ அல்லது அடையாளம்
other_bank_title,அதர் (Other )வங்கி
other_bank_alt,அதர் (Other )வங்கி லோகோ அல்லது அடையாளம்
vancity,வான்சிட்டி ( Vancity ) வங்கி
vancity_alt,வான்சிட்டி ( Vancity ) வங்கி லோகோ அல்லது அடையாளம்
atb,ஏ.ரி.பி ( ATB ) வங்கி
atb_alt,ஏ.ரி.பி ( ATB ) வங்கி லோகோ அல்லது அடையாளம்
simplii,சிம்பிலி ( Simplii ) வங்கி
atb_simplii,சிம்பிலி ( Simplii ) வங்கி லோகோ அல்லது அடையாளம்
eqbank,இகிவ்வங்கி( EQBank )
eqbank_simplii,இகிவ்வங்கி( EQBank ) லோகோ அல்லது அடையாளம்
