apply,விண்ணப்பிக்கவும்
apply_promo_codes,விளம்பர குறியீடுகளைப் பயன்படுத்துங்கள்
completed,நிறைவு
copy_link,இணைப்பை நகலெடுக்கவும் & சேமியுங்கள் இந்த லிங்கை
enter_friends_email,நண்பர்களின் மின்னஞ்சல் முகவரியை உள்ளிடவும்
enter_promocode,ஒரு விளம்பர குறியீட்டை உள்ளிடவும்
import_contacts,உங்கள் தொடர்புகளை பதிவு செய்யுங்கள்
invitation_sent,அழைப்பு அனுப்பப்பட்டது
invite_friends,மூன்று நண்பர்களை அழைக்கவும் & தெரியப்படுத்தவும் & $ 50 சம்பாதிக்கவும்
invited_friends,அழைக்கப்பட்ட நண்பர்கள்
promocode_redeemed_successfully,விளம்பர குறியீடு வெற்றிகரமாக மீட்டெடுக்கப்பட்டது
referral_link,பரிந்துரை இணைக்கப்பட்டது
referral_link_copied,கிளிப்போர்டுக்கு நகலெடுக்கப்பட்ட இணைப்பு!
registered,பதிவு செய்யப்பட்டுள்ளது
send_email_invites,மின்னஞ்சல் அழைப்புகளை அனுப்பவும்
send_invites,அழைப்புகளை அனுப்பு
send_invitation,அழைப்பை அனுப்பவும்
share,பகிருங்கள்
share_link,பகிருங்கள் இணைப்பு
share_facebook,பேஸ்புக்கில் பதிவிடவும் & இடுகையிடவும்
share_twitter,ருவிட்டரில் பதிவு செய்யுங்கள்
share_whatsapp,வாட்ஸ்அப் மூலம் அனுப்பவும்
share_text,% 20ரெமிட்பீ இல் சேரவும்!% 20சேவிங்% 20up% 20யூசிங்% 20the% 20பரிந்துரை% 20லிங்:% 20
your_personal_link,உங்கள் தனிப்பட்ட பரிந்துரை இணைப்பு
start_verification,சரிபார்ப்பைத் தொடங்குங்கள்
verification_required,சரிபார்ப்பு தேவை
totat_earned,மொத்தம் சம்பாதித்தது
gmail,ஜிமெயில் & மின்னஞ்சல்
invite_friends_para,"மூன்று நண்பர்களை அழைக்கவும். அவர்கள் முதல் பரிவர்த்தனைகளை முடித்தவுடன் நீங்கள் $ 50 சம்பாதிப்பீர்கள்! வரம்புகள் இல்லை, நீங்கள் வரம்பற்ற முறையில் சம்பாதிக்கலாம். உங்கள் மின்னஞ்சல் கிளையண்டில் உள்நுழைந்து உங்களுக்காக உங்கள் நண்பர்களுக்கு அழைப்பை அனுப்புவோம்!"
complete_verification_level1,"நண்பர்களை அழைக்க ஆரம்பித்து பணம் சம்பாதிக்க சரிபார்ப்பு நிலை 1 ஐ முடிக்கவும். தேவையான அனைத்து தகவல்களையும் நீங்கள் பூர்த்தி செய்தவுடன், வெகுமதி பக்கம் உங்களுக்கு கிடைக்கும்."
no_contacts,தொடர்புகள் எதுவும் கிடைக்கவில்லை
unable_to_import,உங்கள் தொடர்புகளை இறக்குமதி செய்ய முடியவில்லை
invite_success,நண்பர்கள் வெற்றிகரமாக அழைக்கப்பட்டனர்
name,பெயர்
email,மின்னஞ்சல்
inv_friends,நண்பர்களை அழைக்கவும் & சேர்க்கவும்
