account_number,வங்கி இலக்கம்
add_new_recipient,#பெயர்?
add_new,#பெயர்?
choose_country,நாட்டைத் தெரிவு செய்யுன்கள்
choose_receiving_method,பணம் பெறும் முறையைத் தேர்வுசெய்க
edit,திருத்தி அமை & தொகு
recipients_list,பெறுநர்களின் பட்டியல்
recipient_details,பெறுநரின் விவரங்கள்
recipient_contact_information,அவருடைய தொடர்புகள்
recipient_phone_number,அவருடைய கை தொலைபேசி இலக்கம்?
recipient_address_information,பெறுநரின் முகவரி தகவல்
search,தேடல்
send_money,பணம் அனுப்பவும்
saved,சேமிக்கப்பட்டது
your_recipients,உங்கள் பெறுநர்கள்
payment_method_warning,இந்த நாட்டிற்கான அனைத்து பண பரிமாற்றங்களுக்கும் 10.00 $ CAD கூடுதல் வங்கி பரிமாற்ற கட்டணம் பொருந்தும் என்பதை நினைவில் கொள்கள்.
remove_priority_speed_message,"பெரிய & நல்ல செய்தி! ஜனவரி 14, 2020 முதல் ரெமிட்பீ எந்த கட்டணமும் இல்லாமல் அனைத்து வழக்கமான இடமாற்றங்களுக்கும் முன்னுரிமை வேகத்தை வழங்குகிறது!"
optional,விரும்பினால்
contact_information_subtitle,நீங்கள் தொடர்புகளை சரியாய் கொடுத்தால் எல்லா தகவல்களையும் உறுதி படுத்தலாம்
view_more,மேலும் பார்க்க
choose_your_country,உங்கள் நாட்டைத் தேர்வுசெய்க
select_recipient,பெறுநரைத் தேர்ந்தெடுக்கவும்
recipients_table_recipient,கிடைக்க வேண்டியவர்
recipients_table_last_sent_date,கடைசியாக அனுப்பப்பட்டது:
recipients_table_last_sent_amount,அனுப்பிய தொகை
recipients_table_details,செயல்கள்
dialog_form_title,புதிதாக அனுப்பவேண்டியவர்
dialog_form_recipient_info_title,பெறுநரின் விவரங்கள்
dialog_form_edit_title,பெறுநரின் விவரங்களைத் திருத்தவும்
form_continue_button,அடுத்தது
form_save_button,சேமியுங்கள்
form_receiving_method_label,பெறும் முறையைத் தேர்வுசெய்க
form_bank_deposit_radio,வங்கி கணக்கில் போடுங்கள்(Bank deposit)
form_delivery_radio,நேர கொண்டுபோய் கொடுங்கள்(Delivery)
form_pickup_radio,அவர்கள் வந்து எடுப்பார்கள் (Pickup)
form_bank_deposit_details_label,அவர்களுடைய வங்கி இலக்கம் (bank details)
form_bank_details_ben_bank_name_manual,வங்கியின் பெயர்
form_bank_details_ben_bank_code_manual,வங்கியின் குறியீடு
form_bank_details_ben_bank_branch_code_manual,வங்கியின் கிளைக் குறியீடு
form_bank_details_ben_bank_account,வங்கி இலக்கம் (bank account no.)
form_bank_details_ben_cnaps,"(""CNAPS"") ( ""Super Online Banking System"" இது ஓன்லைன் வங்கி என்றும் அழைக்கப்படுகின்றது"
form_branch_labels_aba,ஏபிஏ ரூட்டிங் எண் (நேரடி வைப்பு)
form_branch_labels_swift,ஸ்விஃப்ட்
form_branch_labels_au-bsb,பி.எஸ்.பி.
form_branch_labels_iban,ஐவிஏஎன் & போகிறது
form_branch_labels_in-ifsc,ஐஎப்எஸ்சி
form_branch_labels_sort,வகைபடுத்து
form_branch_labels_branch,வங்கிக்கிளை
form_location_name,இருப்பிட பெயர்:
form_ben_city,நகரம்:
form_province,மாகாணம்:
form_ben_province,மாகாணம்:
form_branch_code,வங்கியின் குறியீடு
form_phone,தொலைபேசி
form_ben_country,நாடு
form_ben_address1,முகவரி
form_email_address,பெறுநரின் மின்னஞ்சல் முகவரி
form_ben_postal,அஞ்சல் குறியீடு ( Postal code )
form_update_button,சேமியுங்கள்
form_company_name,நிறுவனத்தின் பெயர்
form_first_name,முதல் பெயர் ( First name )
form_last_name,அப்பாவின் பெயர் ( Last name )
form_save_recipient_changes,மாற்றங்களை சேமியுங்கள்
form_delete_recipient,பெறுநரை நீக்கு
form_cnaps,"(""CNAPS"") ( ""Super Online Banking System"" இது ஓன்லைன் வங்கி என்றும் அழைக்கப்படுகின்றது"
receiving_methods_bank_deposit_bank_select_default_bank_option,நீங்கள் எந்த வங்கியில் இருந்து பணம் செலுத்த போகின்றிர்கள்?
receiving_methods_bank_deposit_bank_select_default_branch_option,உங்கள் வங்கி கிளையைத் தேர்வுசெய்க
receiving_methods_agent_title,முகவர் & வாடிக்கையாலர் இருப்பிடத்தைத் தேர்வுசெய்க
receiving_methods_agent_province,மாகாணம்
receiving_methods_agent_city,உங்கள் நகரத்தின் பெயர்
receiving_methods_agent_location,முகவர் & வாடிக்கையாலர் இருப்பிடம்
receiving_methods_radio_list_title,பணம் பெறும் முறையைத் தேர்வுசெய்க
receiving_methods_add_new_receiving_method_label,புதியவற்றை சேருங்கள்
receiving_methods_receiving_method_success_msg,பணம் பெறுதல் முறை வெற்றிகரமாக புதுப்பிக்கப்பட்டது
receiving_methods_create_new_receiving_method,புதிய பணம் பெறும் முறையை உருவாக்கவும்
receiving_speed_regular,வழக்கமான
receiving_speed_priority,முன்னுரிமை
receiving_speed_choose_speed_time,பணம் பெறும் முறை வேக நேரத்தைத் தேர்வுசெய்க
success_update_recipient,பெறுநர் வெற்றிகரமாக புதுப்பிக்கப்பட்டது.
success_delete_recipient,பெறுநர் வெற்றிகரமாக நீக்கப்பட்டார்.
errors_invalid_cnaps,"தவறான(""CNAPS"") ( ""Super Online Banking System"" இது ஓன்லைன் வங்கி என்றும் அழைக்கப்படுகின்றது"
errors_invalid_branch_code,தவறான கிளை குறியீடு
errors_deleting_recipient,"டெலிட் & அலித்தது செய்த்ய்தது போது பிழை, மீண்டும் முயற்சிக்கவும்."
tooltip_edit_beneficiary_delete_payment_method,கட்டண முறையை நீக்கு
notification_one_city_available,இந்த முறை நகர பகுதிக்கு மட்டுமே கிடைக்கும்
payment_methods_bank_deposit,வங்கியில் பனம் செலுதும்முறை
payment_methods_delivery,டெலிவரி
payment_methods_pickup,வந்து பெற்றுக் கொள்ளுதல்
