apply,Apply
apply_promo_codes,Apply your promo codes
completed,Completed
copy_link,Copy Link
enter_friends_email,Enter friends email address
enter_promocode,Enter a promocode
import_contacts,Import your contacts
invitation_sent,Your invites are on the way!
invite_friends,Invite 3 friends & Earn $50
invited_friends,Invited friends
promocode_redeemed_successfully,Promocode successfully redeemed
referral_link,Referal link
referral_link_copied,Referral link copied to clipboard!
registered,Registered
send_email_invites,Send email invites
send_invites,Send invites
send_invitation,Send invitation
share,Share
share_link,Share link
share_facebook,Post on Facebook
share_twitter,Tweet on Twitter
share_whatsapp,Send with WhatsApp
share_text,Join%20Remitbee!%20Sign%20up%20using%20the%20referral%20link:%20
your_personal_link,Your personal referral link
start_verification,Start verification
verification_required,Verification required
totat_earned,Total earned
gmail,Gmail
invite_friends_para,"Invite 3 friends. Once they complete their first transactions you will earn $50! No limits, you can earn unlimited. Login to your email client and let us send the invitation to your friends for you!"
complete_verification_level1,"Please complete the Verification Level 1 to start inviting friends and earn money. Once you fill all the required information, the rewards page will be available for you."
no_contacts,No contacts found
unable_to_import,Unable to import your contacts
invite_success,Friends successfully invited
name,Name
email,Email
inv_friends,Invite Friends
subtitle,
