dialog_success_title,உங்கள் பரிவர்த்தனை வெற்றிகரமாக முடிவடைந்துவிட்டது
dialog_success_message,எங்களுடன் பணம் அனுப்பியதற்கு நன்றி. உங்கள் நிதி 1 வணிக நாளில் வர வேண்டும். பரிவர்த்தனை நிலை மற்றும் புதுப்பிப்புகள் குறித்த அறிவிப்புகளை நாங்கள் உங்களுக்கு அனுப்புவோம்.
dialog_failed_title,உங்கள் பரிவர்த்தனை முடிக்கப்படவில்லை
dialog_failed_message,மேலும் விவரங்களுக்கு எங்கள் வாடிக்கையாளர் சேவை மையம் ஒன்றை அணுகவும்.
dialog_got_it,அறிந்துகொண்டேன்
dialog_picture_required,ஒரு படம் எடுக்கப்பட வேண்டும்
dialog_converter_rate,பரிமாற்றும் வீதம்:
dialog_debit_limit_3000,"அதிகமாக கட்டணம் . 3,000.00 $ CAD வரை கிடைக்கின்றது"
transfer_summary_title,அனுப்பிய குறிப்பு
transfer_summary_bank_deposit,வங்கி வைப்பு & வங்கியில் பணம் அனுப்ப
transfer_summary_delivery,டெலிவரி
transfer_summary_pickup,வந்து எடுக்க
transfer_summary_send_amount,தொகையை அனுப்புங்கள்
transfer_summary_exchange_rate,பரிமாற்று விகிதம்
transfer_summary_fees,கூலி
transfer_summary_apply,விண்ணப்பிக்கவும்
transfer_summary_recipient_gets,அவருக்கு கிடைக்கும் தொகை
transfer_summary_receiving_method,கிடைக்கும் முறை
transfer_summary_reward_dollars,வெகுமதி & திரும்பபெரும் டாலர்கள்
transfer_summary_subtotal,கூட்டுத்தொகை
transfer_summary_your_total,உங்கள் மொத்த கட்டணம்
transfer_summary_remove_rewards,வெகுமதிகளை & திரும்பபெறுவதை அகற்று
transfer_summary_apply_rewards_dollars,பரிசு தொகை & வெகுமதி & திரும்பபெரும் டாலர்களைப் பயன்படுத்துங்கள்
transfer_summary_rewards_remaining,வெகுமதிகள் & திரும்பபெற்ற & மீதமுள்ளவை: $ CAD
transfer_summary_not_enough,போதுமான இருப்பு இல்லை
transfer_summary_above_zero,0 க்கு மேலே உள்ள தொகையை உள்ளிடவும்
transfer_summary_invalid_amount,தவறான திரும்பபெறும் தொகை
transfer_summary_free,இலவசம்
transfer_summary_max_rewards_allowed,நீங்கள் அதிகபட்ச வெகுமதிகள் அனுமதிக்கப்பட்டன $ CAD வரை மட்டுமே பயன்படுத்த முடியும்.
recipient_stepper_title,கிடைக்க வேண்டியவர் & பெறுநர்
recipient_select_your_recipient,யாருக்கு அனுப்ப வேண்டும் என்பதை தெரிவு செய்யுங்கள் & உங்கள் பெறுநரைத் தேர்ந்தெடுக்கவும்
recipient_enter_recipient_details,பணம் பெறுபவரின் விபரங்களை கொடுங்கள் & பெறுநரின் விவரங்களை உள்ளிடவும்
recipient_create_new_receiving_method,புதிய பெறும் முறையை உருவாக்கவும்
transfer_speed_title,உங்கள் பரிமாற்றத்தின் வேகத்தைத் தேர்ந்தெடுக்கவும்
transfer_speed_sub-title,"COVID-19 கொரோனா காலத்தில் கடைகளை பூட்டி இருப்பதன் காரணமாக, அனைத்து பண பரிமாற்ற நிறுவனங்களும் பெரும் தாமதங்கள் மற்றும் சேவை இடையூறுகளை எதிர்கொள்கின்றன. தாமதங்களைத் தடுக்கவும், விரைவில் உங்கள் அன்புக்குரியவர்களுக்கு பணத்தை வழங்கவும், நாங்கள் “உடனடி இடமாற்றம்” தொடங்கினோம். இந்த கடினமான காலங்களில், எதை வேண்டுமானாலும் பணத்தை விரைவாகவும் பாதுகாப்பாகவும் வழங்குவதே எங்கள் முன்னுரிமை."
transfer_speed_warning-message,இந்த விநியோக முறை கிடைக்கிறது
transfer_speed_warning-message-only-banks,வங்கியில் செலுத்தும் முறை மட்டுமே உள்ளது
transfer_speed_speed_instant,உடனடி
transfer_speed_speed_instant_speed_time,(1 வணிக நாள்) & ஒரு வேலை நாள்
transfer_speed_speed_regular,வழக்கமான
transfer_speed_speed_regular_speed_time,(1-5 வணிக நாள்) & 1-5 வேலை நாள்
transfer_speed_speed_hour,மதிப்பு நேரம்
transfer_speed_speed_business_day,மதிப்பு வணிக நாள்
transfer_details_stepper_title,பணம் அனுப்பும் விவரங்கள்
transfer_details_how_much_would_you_like_tosend,எவ்வளவு அனுப்ப விரும்புகிறீர்கள்?
transfer_details_transfer_purpose,நீங்கள் எதற்காக பணம் அனுப்புகின்றிர்கள்?
transfer_details_select_purpose,காரணத்தை தெரிவு செய்யுங்கள்
transfer_details_choose_country_want_to_send_money,நீங்கள் எந்த நாட்டுக்கு பணம் அனுப்ப போகின்றிர்கள்?
transfer_details_max_month_sending_limit,உங்கள் அதிகபட்ச மாதாந்திர அனுப்பும் வரம்பை நீங்கள் அடைந்துவிட்டீர்கள்.
transfer_details_max_day_sending_limit,உங்கள் அதிகபட்ச தினசரி அனுப்பும் வரம்பை அடைந்துவிட்டீர்கள்.
transfer_details_day_limit_available,உங்கள் தினசரி பணம் அனுப்பும் உரிமையுள்ளது $ CAD
transfer_details_month_limit_available,உங்கள் மாதாந்திர பணம் அனுப்பும் உரிமையுள்ளது $ CAD
transfer_details_max_cash_pickup,தேர்ந்தெடுக்கப்பட்ட முகவருக்கான அதிகபட்ச பெற்றுக்கொள்ளும் தொகை {{பெறும்_அளவு_லிமிட்}} {{நாணயக் குறியீடு} ஆகும். தயவுசெய்து வேறு முகவரைத் தேர்ந்தெடுக்கவும் அல்லது பெறும் முறையை மாற்றவும்
transfer_details_max_day_limit_available,நீங்கள் அனுப்பக்கூடிய அதிகபட்ச தினசரி தொகை $ CAD
transfer_details_max_month_limit_available,நீங்கள் அனுப்பக்கூடிய அதிகபட்ச மாதாந்திர தொகை $ CAD
transfer_details_sending_amount_requires,இந்த அனுப்பும் தொகை தேவை
