en_list2Text10,திறந்த மூல திட்டங்களுக்கு செயலில் பங்களித்த வரலாறு
en_heroText,"மிசிசாகா, ஓன்"
en_list3Text1,வலுவான தகவல் தொடர்பு திறன்
en_list2Text1,"Node.js, எக்ஸ்பிரஸ், வரிசைப்படுத்து போன்ற பின்தளத்தில் தொழில்நுட்பங்களில் குறைந்தது 2+ ஆண்டுகள் அனுபவம்"
en_list3Text2,சுய உந்துதல்
en_list1Text1,"டெவலப்பர்கள், கா, தேவோபாஸ் மற்றும் நிறுவனர்களின் சுறுசுறுப்பான குழுவில் பணியாற்றுங்கள்"
en_list2Text2,"ரியாக்ட் ஜேஎஸ், நெக்ஸ்ட் ஜேஎஸ், மெட்டீரியல் யுஐ போன்ற ஃபிரான்டென்ட் தொழில்நுட்பங்களில் அனுபவம்"
en_list3Text3,புதிய கருவிகள் மற்றும் தொழில்நுட்பத்தைக் கற்றுக்கொள்வதற்கும் கூட்டு சூழலில் பணியாற்றுவதற்கும் விருப்பம்
en_list1Text2,ஆராய்ச்சி வணிகத் தேவைகளை மேம்படுத்துவதற்கு முன்னணி தொழில்நுட்பங்களைப் பயன்படுத்தி புதிய அமைப்புகள் மற்றும் மரபு அமைப்புகளை மறுவடிவமைப்பு செய்தல்
en_list2Text3,கிரண்ட் அல்லது கல்ப் போன்ற தானியங்கி பணி ஓட்டப்பந்தய வீரர்களுடன் அனுபவம்
en_list3Text4,"படைப்பாற்றல், இது எங்கள் நிறுவனத்தின் மூலோபாயத்தை வடிவமைப்பதில் ஈடுபடுவதற்கான ஒரு வாய்ப்பாகும். வணிகத்தில் அனைத்து மட்டங்களிலும் உள்ள யோசனைகள் மற்றும் உள்ளீடு வரவேற்கத்தக்கது"
en_list1Text3,வணிக மற்றும் கணினி தேவைகளை ஆராய்ந்து பகுப்பாய்வு செய்யுங்கள். வடிவமைப்புகள் மற்றும் தொழில்நுட்பங்களை பரிந்துரைக்க தீர்வு விருப்பங்களை ஆராயுங்கள்
en_list2Text4,MySQL மற்றும் / அல்லது PostgreSQL போன்ற தரவுத்தளத்தில் அனுபவம்
en_list1Text4,சோதனை வழக்குகளை எழுதுதல்
en_list2Text5,"டெஸ்ட் உந்துதல் மேம்பாடு, ஒருங்கிணைப்பு சோதனை பதிப்பு கட்டுப்பாடு, வெளியீட்டு மேலாண்மை, பணி மதிப்பீடு மற்றும் திட்டமிடல் ஆகியவற்றிற்கான பொறியியல் சிறந்த நடைமுறைகளைப் பயன்படுத்துவதற்கு வசதியானது"
en_list2Text6,ரெஸ்ட் மற்றும் கிராஃபிக்யூல் ஏபிஐகளுடன் பணிபுரியும் அனுபவம்
en_list2Text7,"கிட், ஐ எவ்வாறு பயன்படுத்துவது என்பது உங்களுக்குத் தெரியும்,"
en_seoCanonical,https://www.remitbee.com/ முழு-அடுக்கு-டெவலப்பர்
en_list2Text8,குறியீடு தரம் குறித்து நீங்கள் ஆர்வமாக உள்ளீர்கள். எழுதும் சோதனைகள் மற்றும் ஆவணங்கள் உங்கள் இயல்பான பணிப்பாய்வுக்கு சொந்தமானவை.
en_list2Text9,"பகுப்பாய்வு, வடிவமைப்பு, நிரலாக்க, சோதனை, செயல்படுத்தல் மற்றும் ஆதரவு உள்ளிட்ட மென்பொருள் மேம்பாட்டு வாழ்க்கைச் சுழற்சியின் அனைத்து பகுதிகளிலும் பங்கேற்கவும் அல்லது வழிநடத்தவும்."
en_subTitle1,நீ என்ன செய்வாய்?
en_subTitle2,திறன்கள் மற்றும் தேவைகள்:
en_subTitle3,தேர்ச்சி
en_seoTitle,முழு அடுக்கு டெவலப்பர் - ரெமிட்பீ தொழில்
en_subTitle4,உங்கள் விண்ணப்பத்தை உங்கள் விண்ணப்பம் மற்றும் அட்டை கடிதத்துடன் <a href='mailto:careers@remitbee.com'> careers@remitbee.com </a> க்கு மின்னஞ்சல் செய்யவும்.
en_description,"ரெமிட்பீ ஆன்லைன் பணப் பரிமாற்றம் ரியாக்ட் மற்றும் நோட் ஜே.எஸ்ஸில் அனுபவமுள்ள திறமையான முழு ஸ்டாக் டெவலப்பரை நாடுகிறது. ரெமிட்பீ வேலைக்கு விண்ணப்பிக்கும் நபர்கள் தொழில்நுட்பத்தில் ஆர்வமாக இருக்க வேண்டும் மற்றும் ரெமிட்பீ குழுவுடன் தொழில்துறையை மேலும் புதுமைப்படுத்த வேண்டும். ரெமிட்பீ ஒரு முன்னணி ஆன்லைன் பண பரிமாற்ற சேவையாகும், மேலும் முழு ஸ்டேக் டெவலப்பரின் நிலை கிரேட்டர் டொராண்டோ பகுதியில் உள்ள மிசிசாகாவில் உள்ள எங்கள் தலைமை அலுவலகங்களில் நடைபெறுகிறது. இந்த நிலை தொழில் வளர்ச்சி மற்றும் வேலை நேர நெகிழ்வுத்தன்மைக்கான வாய்ப்பையும் கொண்டுள்ளது. உங்கள் விண்ணப்பத்தைப் படிக்க நாங்கள் எதிர்நோக்குகிறோம்."
en_heroTitle,முழு அடுக்கு டெவலப்பர்
en_seoDescription,ரெமிட்பீ ஆன்லைன் பணப் பரிமாற்றம் ரியாக்ட் மற்றும் நோட் ஜே.எஸ்ஸில் அனுபவமுள்ள திறமையான முழு ஸ்டாக் டெவலப்பரை நாடுகிறது.
